Mouse,Genotype,Colony_Prefix,Sex,Gene_Name,period,start,Age_In_Weeks,low_survival_spotted,start_weight,weigth_min,w_d7,auc_d7,Average_Histo_Score,E_score_Histo,M_score_Histo,surv_days,pre_d10_death
M01613126,Card9:Hom,MOAA,Male,,A,2013-12-02,9,NA,NA,-0.07806691449814118,-0.029739776951672757,3.9898639947466563e-16,NA,NA,NA,10,FALSE
M01613129,Card9:Hom,MOAA,Female,,A,2013-12-02,9,NA,NA,-0.04188481675392674,-0.02094240837696346,0.010471204188481173,NA,NA,NA,10,FALSE
M01614803,Gpr152(b):Hom,MUBW,Female,Gpr152,A,2013-12-09,9.6,NA,19.7,-0.12690355329949238,-0.06598984771573609,0.06345177664974647,6,1.25,1,10,FALSE
M01615734,Pitrm1:Het,MFXT,Male,Pitrm1,A,2013-12-02,8.6,NA,27.6,-0.025362318840579812,0,0.0326086956521736,1.25,0.25,0,10,FALSE
M01615738,Pitrm1:Het,MFXT,Female,Pitrm1,A,2013-12-02,8.6,NA,21.7,-0.13364055299539165,-0.04147465437788012,0.03917050691244279,NA,NA,NA,10,FALSE
M01615739,Pitrm1:Het,MFXT,Female,Pitrm1,A,2013-12-02,8.6,NA,20.1,-0.07462686567164178,0,0.15422885572139255,NA,NA,NA,10,FALSE
M01616142,1700011A15Rik:Hom,MFUU,Male,1700011A15Rik,A,2013-12-02,9.4,NA,28.1,-0.0747330960854093,0,0.046263345195729305,5.25,0.75,0.75,10,FALSE
M01616145,1700011A15Rik:Hom,MFUU,Female,1700011A15Rik,A,2013-12-02,9.4,NA,20.3,0.0049261083743841316,0.05418719211822649,0.19950738916256133,4,0.5,0,10,FALSE
M01616149,1700011A15Rik:Hom,MFUU,Female,1700011A15Rik,A,2013-12-02,9.4,NA,21.2,-0.05660377358490563,-0.03773584905660381,0.06603773584905662,3.75,0.5,0.25,10,FALSE
M01616554,Pitrm1:Het,MFXT,Male,Pitrm1,A,2013-12-02,8,NA,27.8,-0.057553956834532426,-0.017985611510791366,0.052158273381294806,6.5,1.25,1.25,10,FALSE
M01616783,Armc7(tm1.1):Het,MUCC,Male,Armc7,A,2013-12-09,10,NA,28.2,-0.15248226950354613,-0.10283687943262407,-0.09751773049645365,NA,NA,NA,10,FALSE
M01616785,Armc7(tm1.1):Het,MUCC,Male,Armc7,A,2013-12-09,10,NA,29.3,-0.12969283276450513,-0.08873720136518776,-0.20136518771331066,6,1.5,1,10,FALSE
M01616786,Armc7(tm1.1):Het,MUCC,Female,Armc7,A,2013-12-09,10,NA,23.5,-0.1617021276595745,-0.07659574468085109,-0.15319148936170213,10.75,2.25,3,10,FALSE
M01617156,1700011A15Rik:Hom,MFUU,Male,1700011A15Rik,A,2013-12-02,8.9,NA,26,-0.06923076923076926,-0.011538461538461565,0.09807692307692317,NA,NA,NA,10,FALSE
M01617327,Gpr152(b):Hom,MUBW,Male,Gpr152,A,2013-12-09,10,NA,25.8,-0.18992248062015513,-0.08914728682170545,-0.10658914728682191,9.9,1.9,2.5,10,FALSE
M01617333,Gpr152(b):Hom,MUBW,Male,Gpr152,A,2013-12-09,10,NA,29.4,-0.19387755102040816,-0.10884353741496597,-0.17346938775510168,11,2.5,3,10,FALSE
M01617336,Gpr152(b):Hom,MUBW,Female,Gpr152,A,2013-12-09,10,NA,22.3,-0.04484304932735426,-0.03587443946188344,-0.03587443946188352,2.55,0.05,0.5,10,FALSE
M01617341,Defb22:Hom,MFXV,Male,Defb22,A,2013-12-02,8.7,NA,24.9,-0.06425702811244972,-0.02409638554216859,-0.040160642570280916,NA,NA,NA,10,FALSE
M01617342,Defb22:Hom,MFXV,Male,Defb22,A,2013-12-02,8.7,NA,27.5,-0.12727272727272726,-0.06181818181818179,0.0163636363636364,12,3,3,10,FALSE
M01617346,Defb22:Hom,MFXV,Female,Defb22,A,2013-12-02,8.7,NA,18.2,-0.0659340659340659,-0.0219780219780219,0.04945054945054996,3.5,0.5,0,10,FALSE
M01617349,Defb22:Hom,MFXV,Female,Defb22,A,2013-12-02,8.7,NA,21.6,-0.10648148148148151,-0.046296296296296294,0.023148148148147814,6.5,1.25,1.5,10,FALSE
M01619320,WT,MFZV,Male,Chst11,A,2013-12-02,9.1,NA,26.8,-0.026119402985074598,0.00373134328358201,0.09141791044776096,2.5,0.5,0.25,10,FALSE
M01619321,WT,MFZV,Male,Chst11,A,2013-12-02,9.1,NA,25.2,-0.047619047619047596,-0.03968253968253968,0.003968253968254308,3.05,0.05,0,10,FALSE
M01619323,WT,MFZV,Female,Chst11,A,2013-12-02,9.1,NA,20,-0.22999999999999998,-0.09000000000000004,-0.06500000000000013,9.25,1.75,2.25,10,FALSE
M01620264,Eci3(b):Hom,MUBM,Male,Eci3,A,2013-12-02,8.6,NA,26.8,-0.2388059701492538,-0.2388059701492538,-0.19776119402985085,12,3,3,7,TRUE
M01620268,Eci3(b):Hom,MUBM,Female,Eci3,A,2013-12-02,8.6,NA,19.9,-0.19095477386934662,-0.10552763819095468,-0.06783919597989896,NA,NA,NA,10,FALSE
M01620269,Eci3(b):Hom,MUBM,Female,Eci3,A,2013-12-02,8.6,NA,21.2,-0.16037735849056597,-0.09433962264150944,-0.07547169811320728,7.75,1.5,1.75,10,FALSE
M01620286,Eci3(b):Hom,MUBM,Male,Eci3,A,2013-12-02,8.6,NA,28.7,-0.25435540069686413,-0.25435540069686413,-0.28745644599303116,NA,NA,NA,7,TRUE
M01622609,WT,MFEE,Female,Ogdh,A,2013-12-09,8.1,NA,20.3,-0.11330049261083747,-0.03448275862068962,0.10098522167487661,6.25,1.25,1.5,10,FALSE
M01622610,WT,MFEE,Female,Ogdh,A,2013-12-09,8.1,NA,21.5,-0.1302325581395349,-0.06511627906976737,-0.023255813953488212,5.4,0.4,1,10,FALSE
M01623040,WT,MFKN,Female,Dpy30,A,2013-12-02,9.1,NA,21.4,-0.15887850467289713,-0.05607476635514016,-0.023364485981308167,6.7,0.7,1.5,10,FALSE
M01623180,Gm16515(b):Hom,MUBX,Female,Gm16515,A,2013-12-09,8.6,NA,20.1,-0.20895522388059706,-0.20895522388059706,-0.22885572139303534,8.5,1.25,2.25,7,TRUE
M01623196,Gm16515(b):Hom,MUBX,Male,Gm16515,A,2013-12-09,8.6,NA,29.2,-0.25000000000000006,-0.136986301369863,-0.2294520547945204,11,2.5,3,9,TRUE
M01623197,Gm16515(b):Hom,MUBX,Male,Gm16515,A,2013-12-09,8.6,NA,27.7,-0.2093862815884477,-0.14801444043321293,-0.08844765342960256,11.25,2.5,3,8,TRUE
M01623201,Gm16515(b):Hom,MUBX,Female,Gm16515,A,2013-12-09,8.6,NA,22.4,-0.1919642857142856,-0.13839285714285707,-0.2388392857142851,6.75,0.75,1.75,10,FALSE
M01623656,Lonrf3(b):Hemi,MUAN,Male,Lonrf3,A,2013-12-09,8.7,NA,25.8,-0.14728682170542637,-0.04263565891472874,-0.0019379844961243363,8.75,1.5,2.25,10,FALSE
M01623657,Lonrf3(b):Hemi,MUAN,Male,Lonrf3,A,2013-12-09,8.7,NA,28.1,-0.10676156583629892,-0.03558718861209964,0.035587188612099266,8.649999999999999,1.15,2.5,10,FALSE
M01623659,Lonrf3(b):Hom,MUAN,Female,Lonrf3,A,2013-12-09,8.7,NA,20.1,-0.23383084577114432,-0.18905472636815923,-0.32835820895522455,8.5,1.5,2.25,8,TRUE
