Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Granulocyte_precursors_-_%_of_CD45+,HFA-_%_of_B220+,HFA-_%_of_CD45+,HFB-_%_of_B220+,HFB-_%_of_CD45+,HFC-_%_of_B220+,HFC-_%_of_CD45+,HFD-_%_of_B220+,HFD-_%_of_CD45+,HFE-_%_of_B220+,HFE-_%_of_CD45+,HFF-_%_of_B220+,HFF-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+
Traf2,MFVP,M01748620,WT,WT,Male,2014-06-23,26.313107149543402,7.879597086139528,4.173860587023901,15.520626754894067,8.221350862230357,9.723340336546958,5.150500280822915,23.572031651907558,12.486218875460239,11.635806711303973,6.163542945104321,28.792043825718157,15.251284504815594,16.759927610092983,0.07176585609385726,3.8847169929066214,52.97048239136314
Traf2,MFVP,M01748622,WT,WT,Male,2014-06-23,56.256808054134346,9.594230833139477,2.1176945223817643,13.80645375693729,3.0474409051732043,10.665979861088033,2.3542572114943794,19.967764447841546,4.407401294676423,10.744076301884284,2.3714951128715778,33.287361669602205,7.347380389136454,18.616566723515067,0.04071078835891512,3.013331866277897,22.072582567713777
Traf2,MFVP,M01748626,WT,WT,Male,2014-06-23,51.39053797662035,8.835873357290874,2.0616316788053126,14.564698475985626,3.398310790134035,11.19927602759489,2.613073015484424,26.015790992314354,6.07013893139115,13.153476903706423,3.069037272782912,24.830155024525876,5.793500214211396,23.034457433135444,0.07221984209559948,2.170267458228778,23.332517289919824
Zfyve28,MUCZ,M01749106,Zfyve28(b):Hom,Hom,Female,2014-06-23,45.80468363670615,11.855165169772574,2.9567075611651403,11.544771099125468,2.8792945110320955,12.401600358782499,3.092989850943085,20.845971368212343,5.19903689923941,11.451534857372154,2.8560411613723597,31.702682607310194,7.906727576706619,25.32701862622742,0.14481832952645582,3.7832316857795463,24.940247721760425
Gimap6,MFYM,M01753296,Gimap6:Hom,Hom,Male,2014-06-23,47.56159802295362,5.573666682302171,1.5959411452632144,17.82564848257423,5.104123995191694,11.494441577935175,3.291271850593316,27.326563159622875,7.8245774264819445,12.2179745766687,3.4984453592462508,24.455884422346262,7.002598902685533,21.745831346661383,0.045329698003478636,2.013645917976751,28.633595014404772
Adgrd1,MUCE,M01754640,Adgrd1(b):Hom,Hom,Male,2014-06-23,54.9115743506983,8.075510581521309,1.7068076860791728,15.324050833575523,3.238830223870179,10.335808079473697,2.184535144100024,25.459061005574785,5.380925523657421,11.555126951834923,2.4422455144993496,26.98618193347248,5.7036917080362075,21.913478559502337,0.08683415513996773,1.9525120478900138,21.135600886769378
Dip2a,MUBY,M01755964,Dip2a(b):Hom,Hom,Female,2014-06-23,50.46299252825851,13.437114761618075,2.993166868893288,9.962443737278175,2.2191710837218217,11.802987299676042,2.6291589501245287,32.473266248100686,7.23353981735743,11.252544365127147,2.506545756434,20.274648089217624,4.5162526342678335,23.613896161951594,0.06896992145092279,3.5787725908423274,22.275368797496647
Ccdc159,MEZZ,M01758294,WT,WT,Female,2014-06-23,40.449678028367174,9.90418076941412,3.1229143994372257,13.495733422319683,4.25537671582922,12.501310959622444,3.941822642031277,25.290556323592504,7.974434670723128,11.61557896744053,3.662540058562161,27.09348333889498,8.542920532230232,25.086129666484286,0.12806714807087585,2.8048509190170696,31.531274238060597
Ccdc159,MEZZ,M01758295,WT,WT,Female,2014-06-23,32.55774725100945,5.500121381130525,2.3288667727958,17.89967071477924,7.579096074979179,12.437519841146335,5.266306811592675,31.443937479380768,13.314022750993642,14.731934441740169,6.237810085079017,17.82435216712003,7.547204621888606,22.443412438193835,0.0938293991755664,2.5629131392786735,42.34209777234247
1700067K01Rik,MFLD,M01758717,WT,WT,Female,2014-06-23,50.58207702287375,13.24956235349969,3.0980511867017255,10.150431712310477,2.3734034508356516,12.211079132421446,2.855230021021375,25.687624247099667,6.006354976793235,11.71705782867994,2.7397165236334375,26.59555529181378,6.218650053073769,23.30562859462047,0.06868370114958477,2.6613199758566384,23.382290705499553
Lce3c,MFVV,M01760410,Lce3c:Hom,Hom,Male,2014-06-23,60.315598584339995,10.343037341845172,1.5733130539062272,13.056185824712532,1.9860188949662172,12.02553551513287,1.8292433238761003,21.96669615044418,3.3414256047266666,9.504672537784103,1.445786656526953,32.52893896858055,4.948082716663254,22.61692357190909,0.055865921787709494,1.8002866419023662,15.211325280060839
