Gene_Name,Mouse,Genotype,zygosity,Sex,Assay_Date,Colony_Prefix,Vg5plus_Dendritic_epidermal_T_cell_xDETCx_count,CD45plus_Vg5minus_MHC_IIminus_cell_count,Count_of_Vg5plus_DETC_contacting_LC,Count_of_Vg5plus_DETC_not_contacting_LC,Langerhans_cell_xLCx_count,Vg5plus_DETC_to_LC,contacting_to_not_contacting_Vg5plus_DETC,CD45plus_Vg5minus_MHC_IIminus_cells_to_Vg5plus_DETC,Average_volume_of_Vg5plus_DETC,Average_volume_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_volume_of_Vg5plus_DETC_contacting_LC,Average_volume_of_Vg5plus_DETC_not_contacting_LC,Average_volume_of_LC,Average_roundness_of_Vg5plus_DETC,Average_roundness_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_roundness_of_Vg5plus_DETC_contacting_LC,Average_roundness_of_Vg5plus_DETC_not_contacting_LC,Average_roundness_of_LC,Average_no_of_branches_on_Vg5plus_DETC,Average_no_of_branches_on_Vg5plus_DETC_contacting_LC,Average_no_of_branches_on_Vg5plus_DETC_not_contacting_LC,Average_no_of_branches_on_LC,Average_branch_length_of_Vg5plus_DETC,Average_branch_length_of_Vg5plus_DETC_contacting_LC,Average_branch_length_of_Vg5plus_DETC_not_contacting_LC,Average_branch_length_of_LC
Vps33b,M01583738,WT,WT,Male,2013-12-12,MEXC,44.3,9.7,13,31.3,39,1.63,0.83,0.23,5535,6969,6182.5,4730,7366.5,2.63,2.79,2.59,2.6,2.65,2.33,2.37,2.28,2.24,14.03,13.25,13.54,11.47
Dlg3,M01625885,WT,WT,Male,2014-01-29,MCZY,125.7,1.3,57,68.7,65.3,1.93,0.96,0.01,8268.33,5991.67,8963.5,8009,6842.67,2.37,2.11,2.39,2.34,2.74,2.22,2.56,2.17,3.03,14.52,12.82,14.93,12.04
1700011A15Rik,M01665794,1700011A15Rik:Hom,Hom,Male,2014-03-12,MFUU,116.3,0,86,30.3,85.7,1.37,2.93,0,10602.33,NA,11045.83,8559,10926.67,2.51,NA,2.52,2.39,2.9,3.03,5.11,2.51,8.64,15.9,14.27,15.41,14.91
Dynlrb1,M01700162,WT,WT,Male,2014-04-24,MDUV,103,0,63,40,76.3,1.43,1.71,0,12168.33,NA,12705.17,11132.83,13283.17,2.29,NA,2.36,2.17,2.78,2.91,3.41,2.56,5.41,14.33,13.04,13.98,13.24
Dcbld2,M01749363,Dcbld2:Hom,Hom,Male,2014-06-11,MFTX,80.3,2,30.7,49.7,68.3,1.2,0.61,0.03,9350,8270.33,14073.67,7701.83,13117.67,NA,NA,NA,NA,NA,13.73,33.64,12.09,23.8,NA,NA,NA,NA
Nxn,M01755765,Nxn(b):Het,Het,Female,2014-06-16,MUCQ,74.7,0.7,56,18.7,65,1.19,3.52,0.01,7914.5,5707,8528.17,6093.67,11730.17,2.72,3.56,2.79,2.68,2.77,2.3,2.42,1.88,3.17,12.77,11.79,13.3,11.36
Zfyve28,M01749106,Zfyve28(b):Hom,Hom,Female,2014-06-23,MUCZ,82.7,0.3,59,23.7,89.3,0.94,2.53,0,10755.5,8609,11559,9405.83,9880,2.64,1.86,2.71,2.42,2.76,3.23,3.95,2.62,5.54,17.07,15.08,15.79,13.96
Traf6,M01764730,Traf6:Het,Het,Female,2014-06-30,MFXR,75.3,12.7,34,41.3,67.3,1.13,0.89,0.19,5282.67,7596.17,5408,4952.33,9299.83,2.89,2.55,2.88,2.88,2.54,2.94,3.2,2.64,3.36,15.29,13.95,14.92,12.07
Lyrm9,M01773261,WT,WT,Female,2014-07-21,MGHA,82.7,0.3,33,49.7,76.7,1.15,0.74,0.01,6406.17,4699,9346.17,5678,5953.67,NA,NA,NA,NA,NA,7.44,15.6,6.75,6.28,NA,NA,NA,NA
Mpg,M01850990,Mpg:Hom,Hom,Female,2014-10-06,MGJL,98,0.3,70.7,27.3,110.3,0.89,2.61,0,13434.5,7685,15250.67,8445,10117.83,2.23,2.54,2.24,2.23,2.39,3.32,5.86,2.29,6.85,15.21,13.71,15.33,13.64
1700112E06Rik,M01851982,1700112E06Rik:Hom,Hom,Male,2014-10-13,MGGQ,79,2,32,47,46.3,1.73,0.7,0.03,16895.33,12156.67,17896.17,16112.83,12835,2.22,2.59,2.3,2.19,2.68,3.68,5.8,3.56,8.02,16.51,14.92,16.61,13.9
Dhodh,M01893951,Dhodh(b):Het,Het,Female,2014-11-24,MUBN,106.7,3.7,71.3,35.3,108,1,2.81,0.04,8474.17,4284.67,8926.17,6838.33,10976.5,2.61,2.52,2.67,2.55,2.62,2.55,2.89,2.15,4.06,14.34,13.42,13.91,12.38
Kif3b,M02029397,WT,WT,Male,2015-04-27,MUEF,81.7,0,54.7,27,72.3,1.12,2.04,0,12249.17,NA,12864.33,10109.67,12668.17,2.36,NA,2.44,2.22,3,3.28,5.13,2.7,9.28,16.82,15.14,15.8,14.68
Tead3,M02057989,WT,WT,Male,2015-06-01,MFNP,82.7,2.7,53.3,29.3,70.3,1.16,1.81,0.04,11958,9491.5,13034.83,9620.5,14735.67,2.5,2.64,2.53,2.42,2.58,2.51,2.85,2.1,3.29,13.39,12.28,12.81,11.86
