Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,HFA-_%_of_B220+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_B220+,HFB-_%_of_B220+,HFC-_%_of_B220+,HFD-_%_of_B220+,HFE-_%_of_B220+,HFF-_%_of_B220+,HFA-_%_of_CD45+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_CD45+,HFB-_%_of_CD45+,HFC-_%_of_CD45+,HFD-_%_of_CD45+,HFE-_%_of_CD45+,HFF-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+,Granulocyte_precursors_-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,NK_cell_precursors_-_%_of_CD45+
Dynlrb2,MFYF,M01813282,Dynlrb2:Het,Het,Female,2014-08-18,15.7,13.275,15.115,7.999,7.116,30.914,11.988,28.727,2.849,3.244,1.717,1.527,6.635,2.573,6.166,21.463,44.393,28.785,0.257,5.03,NA
Fam46c,MUFH,M02019042,Fam46c(b):Het,Het,Female,2015-04-20,16.1,12.205,16.954,6.328,10.626,35.145,13.678,19.895,3.399,4.722,1.762,2.959,9.788,3.809,5.541,27.85,45.882,23.586,0.159,2.442,NA
Klhl18,MFEM,M01569058,Klhl18:Hom,Hom,Female,2013-11-28,16,26.635,24.462,NA,NA,23.932,9.795,12.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mybphl,MUAF,M01655373,Mybphl(b):Het,Het,Male,2014-03-03,15.7,9.707,22.357,NA,NA,28.558,12.142,25.498,1.702,3.92,NA,NA,5.008,2.129,4.471,17.536,41.898,36.67,NA,2.696,1.142
Gtf2a1,MDEG,M01676584,Gtf2a1:Het,Het,Male,2014-03-19,16,5.858,29.993,NA,NA,27.761,11.925,23.658,2.101,10.756,NA,NA,9.955,4.276,8.484,35.862,40.862,17.014,NA,2.617,3.639
Dennd1b,MFVH,M01702501,Dennd1b:Hom,Hom,Female,2014-04-28,15.7,6.492,28.179,NA,NA,31.74,12.501,20.544,1.403,6.091,NA,NA,6.86,2.702,4.44,21.614,46.355,28.241,NA,2.616,1.172
Traf2,MFVP,M01767331,Traf2:Het,Het,Female,2014-07-10,15.9,14.109,24.492,8.75,15.742,24.203,9.133,27.078,3.025,5.251,1.876,3.375,5.189,1.958,5.805,21.44,46.791,28.191,0.145,3.21,NA
Pitrm1,MFXT,M01777410,WT,WT,Male,2014-07-14,15.7,11.97,17.855,10.686,7.169,31.55,14.032,24.854,1.929,2.877,1.722,1.155,5.084,2.261,4.005,16.113,55.943,24.94,0.119,2.551,NA
Cxcr2,MFFS,M01782631,Cxcr2:Hom,Hom,Male,2014-07-21,16,20.66,10.105,7.773,2.332,24.998,12.715,30.669,0.718,0.351,0.27,0.081,0.868,0.442,1.065,3.474,61.476,32.813,0.167,1.565,NA
Mpg,MGJL,M01790990,Mpg:Hom,Hom,Male,2014-08-06,15.9,10.289,19.46,14.738,4.722,29.663,13.585,27.51,2.122,4.013,3.039,0.974,6.117,2.802,5.673,20.622,52.325,23.72,0.07,3.192,NA
Erlin2,MFKU,M01806322,Erlin2:Hom,Hom,Male,2014-08-26,16.3,10.567,19.514,11.793,7.721,34.519,14.296,21.045,2.128,3.929,2.374,1.555,6.95,2.878,4.237,20.134,52.215,25.031,0.142,2.364,NA
Ndufb8,MFHG,M01812234,Ndufb8:Het,Het,Female,2014-08-28,16.1,13.715,28.489,9.061,19.428,23.352,11.066,23.409,3.203,6.654,2.116,4.538,5.454,2.585,5.468,23.357,46.863,25.092,0.166,4.448,NA
Aldh1b1,MGER,M01825890,Aldh1b1:Hom,Hom,Female,2014-09-03,15.6,13.277,15.144,6.906,8.238,34.923,16.4,20.069,3.261,3.72,1.696,2.024,8.579,4.029,4.93,24.565,43.45,27.837,0.357,3.722,NA
Il1r2,MGES,M01854868,Il1r2:Hom,Hom,Female,2014-10-15,16,17.912,19.444,9.478,9.965,29.533,11.692,21.8,3.718,4.036,1.967,2.068,6.13,2.427,4.525,20.755,45.925,29.709,0.3,3.224,NA
5730559C18Rik,MGHU,M01873198,5730559C18Rik:Hom,Hom,Male,2014-10-29,16.1,15.496,9.783,6.288,3.495,23.791,10.521,40.721,2.086,1.317,0.846,0.47,3.202,1.416,5.481,13.459,59.929,23.94,0.13,2.497,NA
Fam69a,MGKX,M01880271,Fam69a :Hom,Hom,Male,2014-11-05,15.9,10.502,9.322,7.721,1.6,25.255,16.086,39.276,1.748,1.551,1.285,0.266,4.203,2.677,6.536,16.642,62.96,17.312,0.12,2.905,NA
Repin1,MFTS,M01873606,Repin1:Hom,Hom,Male,2014-11-10,16.1,28.596,7.566,5.656,1.909,14.603,8.212,40.964,1.608,0.425,0.318,0.107,0.821,0.462,2.303,5.622,70.52,21.226,0.117,2.473,NA
Psph,MGJF,M01893093,Psph:Het,Het,Female,2014-11-17,15.9,11.357,14.041,8.763,5.278,27.507,11.885,35.53,2.517,3.112,1.942,1.17,6.096,2.634,7.874,22.162,50.874,22.869,0.217,3.796,NA
Pigf,MGLS,M01890655,Pigf:Het,Het,Male,2014-11-24,16.1,11.469,16.863,8.558,8.305,24.243,11.52,33.595,1.685,2.478,1.257,1.22,3.562,1.692,4.936,14.692,NA,25.585,0.186,2.998,NA
Fbf1,MFGV,M01898954,Fbf1:Hom,Hom,Male,2014-11-26,15.9,12.835,19.993,13.996,5.998,27.092,11.491,28.441,1.932,3.009,2.106,0.903,4.077,1.729,4.28,15.05,60.259,21.599,0.212,2.835,NA
Tmem30a,MGNA,M01902890,WT,WT,Female,2014-12-15,15.9,8.399,25.698,11.403,14.295,24.584,10.934,28.634,2.698,8.254,3.663,4.592,7.896,3.512,9.197,32.12,41.67,21.078,0.387,4.729,NA
Tram2,MFKX,M01919689,WT,WT,Female,2014-12-22,15.4,11.917,19.387,5.769,13.618,19.738,10.402,38.391,2.65,4.311,1.283,3.028,4.389,2.313,8.537,22.238,51.224,21.604,0.268,4.564,NA
Lrrc23,MGQT,M01968470,WT,WT,Female,2015-02-25,15.9,17.897,4.533,1.655,2.878,13.57,8.674,54.863,3.054,0.774,0.282,0.491,2.316,1.48,9.364,17.067,56.106,19.427,0.411,6.903,NA
Slc25a20,MERS,M01912899,Slc25a20:Het,Het,Female,2014-12-17,16.3,8.099,21.466,9.594,11.871,32.582,13.376,23.867,2.79,7.395,3.305,4.089,11.224,4.608,8.222,34.449,43.718,18.202,0.276,3.387,NA
Cttnbp2,MUDC,M01983548,Cttnbp2(b):Hom,Hom,Male,2015-03-04,15.7,12.15,33.586,21.574,12.012,21.027,9.012,23.079,6.79,18.77,12.057,6.713,11.751,5.037,12.898,55.886,18.351,17.973,0.678,6.735,NA
Pigf,MGLS,M01991169,Pigf:Het,Het,Female,2015-03-23,16.1,13.714,38.508,15.333,23.175,25.682,10.276,10.891,3.598,10.102,4.023,6.08,6.737,2.696,2.857,26.234,42.687,29.053,0.255,1.602,NA
Galnt18,MUEL,M02003860,Galnt18(b):Hom,Hom,Female,2015-03-30,16,12.545,24.655,8.046,16.609,28.657,9.753,22.222,3.039,5.973,1.949,4.024,6.942,2.363,5.383,24.226,42.839,28.57,0.168,4.041,NA
Pepd,MFPW,M02002142,Pepd:Hom,Hom,Female,2015-04-01,15.7,9.375,28.587,12.122,16.465,19.634,8.007,33.686,2.215,6.753,2.863,3.889,4.638,1.891,7.957,23.622,44.403,27.2,0.104,4.561,NA
Tead3,MFNP,M02011078,WT,WT,Male,2015-04-06,15.7,12.329,41.938,24.442,17.496,21.695,8.752,14.832,2.625,8.93,5.205,3.726,4.62,1.864,3.158,21.294,51.73,24.92,0.051,1.877,NA
Enthd2,MUFN,M02011392,Enthd2(b):Hom,Hom,Male,2015-04-09,16.1,8.496,44.112,29.57,14.542,17.624,7.998,20.879,2.103,10.921,7.321,3.6,4.363,1.98,5.169,24.757,48.126,24.612,0.063,2.354,NA
Fnip2,MGSD,M02035472,Fnip2:Hom,Hom,Male,2015-05-07,16.3,10.181,29.495,18.553,10.941,26.61,8.565,24.179,2.27,6.575,4.136,2.439,5.932,1.909,5.39,22.294,51.264,23.593,0.14,2.538,NA
