Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,Total_B_cells_-_%_of_CD45+,B1a_cells_-_%_of_B_cells,Total_B2_cells_-_%_of_B_cells,Follicular_B_cells_-_%_of_B2_cells,Germinal_centre_B_cells_-_%_of_B2_cells,Plasma_cells_-_%_of_B2_cells,Memory_B_cells_-_%_of_B2_cells,B2_marginal_zone_+_precursor_cells_-_%_of_B2_cells,B2_t1_+_t2_cells_-_%_of_B2_cells,B2_t3_+_f1_+_f2_+_gc_cells_-_%_of_B2_cells,B1a_cells_-_%_of_CD45+,Total_B2_cells_-_%_of_CD45+,Follicular_B_cells_-_%_of_CD45+,Germinal_centre_B_cells_-_%_of_CD45+,Early_germinal_centre_B_cells_-_%_of_CD45+,Late_germinal_centre_B_cells_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,Memory_B_cells_-_%_of_CD45+,Total_T_cells_-_%_of_CD45+,Total_ab_T_cells_-_%_of_total_T_cells,Total_CD4+_T_cells_-_%_of_ab_T_cells,CD4+_T_helper_cells_-_%_of_CD4+,Effector_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Resting_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,KLRG1+_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Total_Treg_cells_-_%_of_CD4+,Effector_Treg_cells_-_%_of_Treg,Resting_Treg_cells_-_%_of_Treg,KLRG1+_Treg_cells_-_%_of_Treg,Total_CD8+_T_cells_-_%_of_ab_T_cells,Effector_CD8+_T_cells_-_%_of_CD8+,Resting_CD8+_T_cells_-_%_of_CD8+,Naive_CD8+_T_cells_-_%_of_CD8+,KLRG1+_CD8+_T_cells_-_%_of_CD8+,Total_gd_T_cells_-_%_of_total_T_cells,CD5+_gd_T_cells_-_%_of_gd_T_cells,Effector_gd_T_cells_-_%_of_gd_T_cells,Resting_gd_T_cells_-_%_of_gd_T_cells,KLRG1+_gd_T_cells_-_%_of_gd_T_cells,Total_NKT_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_NKT_cells,Effector_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Resting_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,KLRG1+_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Total_CD4+_NKT_cells_-_%_of_NKT_cells,Effector_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Resting_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,KLRG1+_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Total_NK_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_NK_cells,Resting_NK_cells_-_%_of_NK_cells,KLRG1+_NK_cells_-_%_of_NK_cells,Total_myeloid_cells_-_%_of_CD45+,Macrophages_-_%_of_myeloid_cells,Granulocytes_+_monocytes_-_%_of_myeloid_cells,Granulocytes_-_%_of_myeloid_cells,Monocytes_-_%_of_myeloid_cells,Eosinophils_-_%_of_myeloid_cells,Total_DC_-_%_of_myeloid_cells,Plasmacytoid_DC_-_%_of_DC,Conventional_DC_(cDC)_-_%_of_DC,Conventional_CD11b_type_DC_-_%_of_cDC,Conventional_CD8a_type_DC_-_%_of_cDC,CD103+_CD8a_type_DC_-_%_of_CD8_type_cDC,Total_ab_T_cells_-_%_of_CD45+,Total_CD4+_T_cells_-_%_of_CD45+,CD4+_T_helper_cells_-_%_of_CD45+,Effector_CD4+_T_helper_cells_-_%_of_CD45+,Resting_CD4+_T_helper_cells_-_%_of_CD45+,KLRG1+_CD4+_T_helper_cells_-_%_of_CD45+,Total_Treg_cells_-_%_of_CD45+,Effector_Treg_cells_-_%_of_CD45+,Resting_Treg_cells_-_%_of_CD45+,KLRG1+_Treg_cells_-_%_of_CD45+,Total_CD8+_T_cells_-_%_of_CD45+,Effector_CD8+_T_cells_-_%_of_CD45+,Resting_CD8+_T_cells_-_%_of_CD45+,Naive_CD8+_T_cells_-_%_of_CD45+,KLRG1+_CD8+_T_cells_-_%_of_CD45+,Total_gd_T_cells_-_%_of_CD45+,CD5+_gd_T_cells_-_%_of_CD45+,Effector_gd_T_cells_-_%_of_CD45+,Resting_gd_T_cells_-_%_of_CD45+,KLRG1+_gd_T_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_CD45+,Effector_CD4-_NKT_cells_-_%_of_CD45+,Resting_CD4-_NKT_cells_-_%_of_CD45+,KLRG1+_CD4-_NKT_cells_-_%_of_CD45+,Total_CD4+_NKT_cells_-_%_of_CD45+,Effector_CD4+_NKT_cells_-_%_of_CD45+,Resting_CD4+_NKT_cells_-_%_of_CD45+,KLRG1+_CD4+_NKT_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_CD45+,Resting_NK_cells_-_%_of_CD45+,KLRG1+_NK_cells_-_%_of_CD45+,Macrophages_-_%_of_CD45+,Granulocytes_+_monocytes_-_%_of_CD45+,Granulocytes_-_%_of_CD45+,Monocytes_-_%_of_CD45+,Eosinophils_-_%_of_CD45+,Total_DC_-_%_of_CD45+,Plasmacytoid_DC_-_%_of_CD45+,Conventional_DC_-_%_of_CD45+,Conventional_CD11b_type_DC_-_%_of_CD45+,Conventional_CD8a_type_DC_-_%_of_CD45+,CD103+_CD8a_type_DC_-_%_of_CD45+
Pth,MFEQ,M01522928,Pth:Hom,Hom,Male,2013-10-13,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.82388132,96.964,53.971,85.295,12.428,85.65,0.106,15.329,66.971,30.71,4.22,43.297,2.414,15.719,72.22,0.093,3.036,NA,22.024,70.291,0.276,0.283,72.523,15.528,81.988,1.398,27.477,47.131,32.787,19.672,0.73,50.349,49.738,9.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.554,21.888,18.669,2.32,15.99,0.02,3.355,2.247,1.03,0.142,17.559,0.424,2.76,12.681,0.016,1.27,NA,0.28,0.893,0.004,0.205,0.032,0.168,0.003,0.078,0.037,0.026,0.015,0.368,0.363,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pth,MFEQ,M01522929,Pth:Hom,Hom,Male,2013-10-13,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.86438781,97.426,47.166,86.128,19.702,78.068,0.12,14.394,76.654,22.626,4.542,49.99,4.675,18.842,62.114,0.241,2.574,NA,23.97,65.417,0.238,0.257,60.303,19.706,77.358,4.612,39.697,45.541,42.675,24.204,0.781,70.512,29.613,10.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.632,21.995,18.944,3.732,14.789,0.023,3.166,2.427,0.716,0.144,23.311,1.09,4.392,14.48,0.056,1.232,NA,0.295,0.806,0.003,0.155,0.031,0.12,0.007,0.102,0.047,0.044,0.025,0.551,0.231,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pth,MFEQ,M01522934,Pth:Hom,Hom,Female,2013-10-13,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.04019543,97.874,52.713,88.274,17.334,79.968,0.101,12.13,77.979,21.257,3.679,45.159,3.142,13.478,71.482,0.075,2.126,NA,21.324,63.579,0.235,0.282,50.116,14.385,82.135,3.016,49.884,48.485,34.266,18.415,0.339,46.654,53.346,18.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.785,30.46,26.889,4.661,21.502,0.027,3.695,2.881,0.785,0.136,26.096,0.82,3.517,18.654,0.02,1.255,NA,0.268,0.798,0.003,0.142,0.02,0.116,0.004,0.141,0.068,0.048,0.026,0.158,0.181,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pth,MFEQ,M01522935,Pth:Hom,Hom,Female,2013-10-13,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.98991219,97.523,52.675,87.59,20.362,74.184,0.119,12.9,79.251,19.008,3.663,44.52,3.78,9.948,68.587,0.198,2.477,NA,19.305,64.863,0.323,0.343,51.429,16.852,78.889,2.593,48.571,46.471,25.882,38.235,0.451,43.157,56.626,17.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.777,25.166,22.043,4.489,16.353,0.026,3.247,2.573,0.617,0.119,21.27,0.804,2.116,14.589,0.042,1.213,NA,0.234,0.787,0.004,0.176,0.03,0.139,0.005,0.167,0.077,0.043,0.064,0.195,0.255,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankrd9,MEVW,M01524094,Ankrd9:Hom,Hom,Male,2013-10-13,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.97152538,97.145,53.46,85.944,16.23,81.413,0.121,14.642,78.925,19.925,4.435,43.354,3.465,14.883,70.073,0.368,2.855,NA,22.479,67.688,0.418,0.33,69.091,21.053,78.947,1.316,30.909,54.575,23.529,17.974,0.544,48.128,52.302,16.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.773,21.797,18.733,3.04,15.251,0.023,3.192,2.519,0.636,0.142,17.677,0.613,2.631,12.387,0.065,1.198,NA,0.269,0.811,0.005,0.228,0.048,0.18,0.003,0.102,0.056,0.024,0.018,0.262,0.284,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankrd9,MEVW,M01524095,Ankrd9:Hom,Hom,Male,2013-10-13,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.48079795,97.405,51.956,85.593,14.1,83.153,0.117,14.955,77.799,20.854,4.692,45.054,4.945,19.262,64.544,0.453,2.595,NA,23.637,66.208,0.086,0.385,75.043,25.803,72.821,1.147,24.957,48.621,30.69,22.759,0.732,52.739,47.578,11.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.326,22.511,19.268,2.717,16.022,0.023,3.367,2.619,0.702,0.158,19.52,0.965,3.76,12.599,0.088,1.154,NA,0.273,0.764,0.001,0.289,0.075,0.21,0.003,0.096,0.047,0.029,0.022,0.386,0.348,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankrd9,MEVW,M01524098,Ankrd9:Hom,Hom,Female,2013-10-13,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2218529,97.296,53.678,88.484,18.757,77.348,0.064,11.879,74.966,23.261,3.784,43.283,4.008,11.833,66.652,0.065,2.704,NA,23.416,63.103,0.156,0.372,55.254,33.597,63.708,1.268,44.746,72.603,18.787,12.133,0.454,55.237,45.05,14.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.972,24.14,21.36,4.007,16.522,0.014,2.868,2.15,0.667,0.109,19.465,0.78,2.303,12.974,0.013,1.25,NA,0.293,0.789,0.002,0.206,0.069,0.131,0.003,0.167,0.121,0.031,0.02,0.251,0.205,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankrd9,MEVW,M01524100,Ankrd9:Hom,Hom,Female,2013-10-13,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.51092944,97.477,51.943,88.587,19.954,75.822,0.061,11.868,79.009,19.509,3.382,45.314,4.029,10.548,64.95,0.089,2.523,NA,21.821,64.17,0.216,0.353,51.374,22.103,76.649,1.248,48.626,75.706,15.254,10.923,0.467,52.177,47.754,13.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.312,24.056,21.311,4.252,16.158,0.013,2.855,2.256,0.557,0.097,20.986,0.846,2.214,13.63,0.019,1.199,NA,0.262,0.769,0.003,0.181,0.04,0.139,0.002,0.171,0.13,0.026,0.019,0.244,0.223,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klc2,MFAT,M01527302,Klc2:Hom,Hom,Female,2013-10-24,16.4,33.87,2.534,96.927,91.419,2.8,NA,NA,1.841,0.867,94.219,0.858,32.829,31.021,0.919,NA,NA,NA,NA,55.039,97.756,51.859,93.231,21.622,76.709,0.323,6.627,73.294,26.029,4.549,45.659,5.148,12.908,70.46,0.336,2.244,NA,24.415,64.405,0.208,0.363,56.89,23.447,76.553,2.019,43.11,64.549,29.303,29.303,0.564,39.465,61.39,21.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.804,27.902,26.013,5.625,19.955,0.084,1.849,1.355,0.481,0.084,24.566,1.265,3.171,17.309,0.083,1.235,NA,0.301,0.795,0.003,0.207,0.048,0.158,0.004,0.157,0.101,0.046,0.046,0.223,0.346,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klc2,MFAT,M01527303,WT,WT,Female,2013-10-23,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.103,97.442,50.52,93.602,23.261,74.388,0.227,6.251,73.546,26.089,3.129,47.615,7.79,11.421,58.864,0.177,2.558,NA,34.088,50.046,0.092,0.23,81.037,38.047,62.795,1.178,18.963,64.029,28.777,23.741,0.434,56.544,44.107,20.824,3.063,0.079,1.384,NA,NA,1.132,25.067,23.839,76.161,80.066,1.647,15,51.744,26.141,24.469,5.692,18.202,0.056,1.634,1.202,0.426,0.051,24.638,1.919,2.814,14.503,0.044,1.358,NA,0.463,0.68,0.001,0.186,0.071,0.117,0.002,0.044,0.028,0.013,0.01,0.245,0.191,0.09,0.002,0.042,NA,NA,0.035,0.768,0.183,0.585,0.468,0.01,0.001
