Gene_Name,Mouse,Genotype,zygosity,Sex,Assay_Date,Colony_Prefix,Total_T_cells_-_%_of_CD45+,Ly6C+_CD5+_T_cells_-_%_of_CD5+_T_cells,Total_ab_T_cells_-_%_of_total_T_cells,Total_CD4+_T_cells_-_%_of_ab_T_cells,CD4+_T_helper_cells_-_%_of_CD4+,Effector_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Resting_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,KLRG1+_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Total_Treg_cells_-_%_of_CD4+,Effector_Treg_cells_-_%_of_Treg,Resting_Treg_cells_-_%_of_Treg,KLRG1+_Treg_cells_-_%_of_Treg,Total_CD8+_T_cells_-_%_of_ab_T_cells,Effector_CD8+_T_cells_-_%_of_CD8+,Resting_CD8+_T_cells_-_%_of_CD8+,Naive_CD8+_T_cells_-_%_of_CD8+,KLRG1+_CD8+_T_cells_-_%_of_CD8+,Total_gd_T_cells_-_%_of_total_T_cells,CD5+_gd_T_cells_-_%_of_gd_T_cells,Effector_gd_T_cells_-_%_of_gd_T_cells,Resting_gd_T_cells_-_%_of_gd_T_cells,KLRG1+_gd_T_cells_-_%_of_gd_T_cells,Total_NKT_cells_-_%_of_CD45+,Ly6C+_NKT_cells_-_%_of_NKT_cells,Total_CD4-_NKT_cells_-_%_of_NKT_cells,Effector_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Resting_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,KLRG1+_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Total_CD4+_NKT_cells_-_%_of_NKT_cells,Effector_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Resting_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,KLRG1+_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Total_NK_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_NK_cells,Resting_NK_cells_-_%_of_NK_cells,KLRG1+_NK_cells_-_%_of_NK_cells,Immature_NK_cells_-_%_of_NK_cells,Ly6C+_immature_NK_cells_-_%_of_immature_NK_cells,Mature_NK_cells_-_%_of_NK_cellls,Ly6C+_mature_NK_cells_-_%_of_mature_NK_cells,Total_B_cells_-_%_of_CD45+,B1a_cells_-_%_of_B_cells,Total_B2_cells_-_%_of_B_cells,Marginal_zone_B_cells_-_%_of_B2_cells,Marginal_zone_precursor_B_cells_-_%_of_B2_cells,Transitional_1_B_cells_-_%_of_B2_cells,Transitional_2_B_cells_-_%_of_B2_cells,Follicular_B_cells_-_%_of_B2_cells,Germinal_centre_B_cells_-_%_of_B2_cells,Early_germinal_centre_B_cells_-_%_of_B2_cells,Late_germinal_centre_B_cells_-_%_of_B2_cells,Plasma_cells_-_%_of_B2_cells,Memory_B_cells_-_%_of_B2_cells,B2_marginal_zone_+_precursor_cells_-_%_of_B2_cells,B2_t1_+_t2_cells_-_%_of_B2_cells,B2_t3_+_f1_+_f2_+_gc_cells_-_%_of_B2_cells,Total_myeloid_cells_-_%_of_CD45+,Macrophages_-_%_of_myeloid_cells,Granulocytes_+_monocytes_-_%_of_myeloid_cells,Granulocytes_-_%_of_myeloid_cells,Monocytes_-_%_of_myeloid_cells,Eosinophils_-_%_of_myeloid_cells,Total_DC_-_%_of_myeloid_cells,Plasmacytoid_DC_-_%_of_DC,Conventional_DC_(cDC)_-_%_of_DC,Conventional_CD11b_type_DC_-_%_of_cDC,Conventional_CD8a_type_DC_-_%_of_cDC,CD103+_CD8a_type_DC_-_%_of_CD8_type_cDC,Ly6C+_CD5+_T_cells_-_%_of_lymphocytes,Total_ab_T_cells_-_%_of_CD45+,Total_CD4+_T_cells_-_%_of_CD45+,CD4+_T_helper_cells_-_%_of_CD45+,Effector_CD4+_T_helper_cells_-_%_of_CD45+,Resting_CD4+_T_helper_cells_-_%_of_CD45+,KLRG1+_CD4+_T_helper_cells_-_%_of_CD45+,Total_Treg_cells_-_%_of_CD45+,Effector_Treg_cells_-_%_of_CD45+,Resting_Treg_cells_-_%_of_CD45+,KLRG1+_Treg_cells_-_%_of_CD45+,Total_CD8+_T_cells_-_%_of_CD45+,Effector_CD8+_T_cells_-_%_of_CD45+,Resting_CD8+_T_cells_-_%_of_CD45+,Naive_CD8+_T_cells_-_%_of_CD45+,KLRG1+_CD8+_T_cells_-_%_of_CD45+,Total_gd_T_cells_-_%_of_CD45+,CD5+_gd_T_cells_-_%_of_CD45+,Effector_gd_T_cells_-_%_of_CD45+,Resting_gd_T_cells_-_%_of_CD45+,KLRG1+_gd_T_cells_-_%_of_CD45+,Ly6C+_NKT_cells_-_%_of_lymphocytes,Total_CD4-_NKT_cells_-_%_of_CD45+,Effector_CD4-_NKT_cells_-_%_of_CD45+,Resting_CD4-_NKT_cells_-_%_of_CD45+,KLRG1+_CD4-_NKT_cells_-_%_of_CD45+,Total_CD4+_NKT_cells_-_%_of_CD45+,Effector_CD4+_NKT_cells_-_%_of_CD45+,Resting_CD4+_NKT_cells_-_%_of_CD45+,KLRG1+_CD4+_NKT_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_CD45+,Resting_NK_cells_-_%_of_CD45+,KLRG1+_NK_cells_-_%_of_CD45+,Immature_NK_cells_-_%_of_lymphocytes,Ly6C+_immature_NK_cells_-_%_of_lymphocytes,Mature_NK_cells_-_%_of_lymphocytes,Ly6C+_mature_NK_cells_-_%_of_lymphocytes,B1a_cells_-_%_of_CD45+,Total_B2_cells_-_%_of_CD45+,Marginal_zone_B_cells_-_%_of_CD45+,Marginal_zone_precursor_B_cells_-_%_of_CD45+,Transitional_1_B_cells_-_%_of_CD45+,Transitional_2_B_cells_-_%_of_CD45+,Follicular_B_cells_-_%_of_CD45+,Germinal_centre_B_cells_-_%_of_CD45+,Early_germinal_centre_B_cells_-_%_of_CD45+,Late_germinal_centre_B_cells_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,Memory_B_cells_-_%_of_CD45+,B2_marginal_zone_+_precursor_cells_-_%_of_lymphocytes,B2_t1_+_t2_cells_-_%_of_lymphocytes,B2_t3_+_f1+_f2_+_gc_cells_-_%_of_lymphocytes,Macrophages_-_%_of_CD45+,Granulocytes_+_monocytes_-_%_of_CD45+,Granulocytes_-_%_of_CD45+,Monocytes_-_%_of_CD45+,Eosinophils_-_%_of_CD45+,Total_DC_-_%_of_CD45+,Plasmacytoid_DC_-_%_of_CD45+,Conventional_DC_-_%_of_CD45+,Conventional_CD11b_type_DC_-_%_of_CD45+,Conventional_CD8a_type_DC_-_%_of_CD45+,CD103+_CD8a_type_DC_-_%_of_CD45+
Ssbp1,M01491937,WT,WT,Female,2013-09-11,MEPZ,31.944,NA,94.376,54.063,88.272,26.85,70.545,0.558,11.71,59.425,39.563,11.329,38.509,4.713,21.463,65.347,0.401,5.624,NA,47.787,48.482,0.443,1.322,NA,40.218,51.068,46.866,8.476,59.782,87.925,8.194,1.773,3.05,30.891,69.394,54.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.147,16.299,14.387,3.863,10.149,0.08,1.909,1.134,0.755,0.216,11.609,0.547,2.492,7.586,0.047,1.796,NA,0.858,0.871,0.008,NA,0.532,0.272,0.249,0.045,0.79,0.695,0.065,0.014,0.942,2.116,1.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sgms1,M01492595,Sgms1:Hom,Hom,Male,2013-09-11,MEBK,24.724,NA,96.152,64.168,91.644,33.225,57.169,0.565,8.307,79.363,18.812,13.072,32.326,17.966,17.063,47.388,0.394,3.848,NA,63.058,27.353,0.619,0.322,NA,40.392,64.078,34.304,1.294,59.608,72.588,13.377,13.816,1.652,40.076,60.102,42.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.773,15.255,13.98,4.645,7.992,0.079,1.267,1.006,0.238,0.166,7.685,1.381,1.311,3.642,0.03,0.951,NA,0.6,0.26,0.006,NA,0.13,0.083,0.045,0.002,0.192,0.139,0.026,0.026,0.662,0.993,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edc4,M01496881,Edc4:Het,Het,Female,2013-09-11,MFAD,27.618,NA,93.279,52.8,87.932,32.792,63.206,0.875,12.086,69.053,29.694,11.834,38.484,3.837,20.046,69.387,0.807,6.721,NA,44.333,50.181,0.619,1.334,NA,32.106,37.65,59.667,2.128,67.894,87.358,9.361,1.4,2.265,37.397,62.813,32.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.762,13.602,11.961,3.922,7.56,0.105,1.644,1.135,0.488,0.195,9.914,0.38,1.987,6.879,0.08,1.856,NA,0.823,0.932,0.011,NA,0.428,0.161,0.256,0.009,0.906,0.791,0.085,0.013,0.847,1.423,0.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sgms1,M01499329,Sgms1:Hom,Hom,Female,2013-09-11,MEBK,23.277,NA,95.059,48.084,97.642,25.591,45.994,0.56,2.393,91.763,5.491,32.37,46.827,11.885,12.123,55.298,1.101,4.941,NA,69.45,20.25,0.352,0.269,NA,72.131,61.742,33.144,2.462,27.869,32.353,34.314,8.824,2.529,37.727,62.52,52.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.126,10.639,10.388,2.659,4.778,0.058,0.255,0.234,0.014,0.082,10.361,1.231,1.256,5.73,0.114,1.15,NA,0.799,0.233,0.004,NA,0.194,0.12,0.064,0.005,0.075,0.024,0.026,0.007,0.954,1.581,1.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slc5a7,M01499784,Slc5a7:Het,Het,Male,2013-09-11,MFED,29.991,NA,95.108,51.559,92.358,24.733,68.571,0.495,7.63,86.212,12.013,13.629,41.763,3.986,28.744,61.191,0.43,4.892,NA,35.903,57.406,0.218,1.047,NA,61.821,27.967,71.154,2.857,38.179,81.495,12.278,3.025,3.33,23.074,77.225,47.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.524,14.707,13.583,3.359,9.314,0.067,1.122,0.967,0.135,0.153,11.913,0.475,3.424,7.289,0.051,1.467,NA,0.527,0.842,0.003,NA,0.647,0.181,0.461,0.018,0.4,0.326,0.049,0.012,0.768,2.571,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slc5a7,M01499785,WT,WT,Female,2013-09-11,MFED,36.036,NA,95.429,54.287,92.409,15.389,83.607,0.544,7.609,54.871,43.145,9.18,40.298,1.973,13.38,81.587,0.413,4.571,NA,35.24,61.287,0.689,0.977,NA,36.908,40.257,54.376,1.634,63.092,79.454,13.106,2.457,2.762,22.483,77.746,52.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.389,18.669,17.252,2.655,14.423,0.094,1.421,0.779,0.613,0.13,13.858,0.273,1.854,11.306,0.057,1.647,NA,0.581,1.01,0.011,NA,0.361,0.145,0.196,0.006,0.616,0.49,0.081,0.015,0.621,2.147,1.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slc5a7,M01499786,WT,WT,Female,2013-09-11,MFED,36.641,NA,95.711,53.07,92.88,17.565,79.806,0.522,7.087,59.657,38.627,11.097,41.837,2.833,14.176,77.517,0.474,4.289,NA,33.445,62.387,0.566,0.962,NA,42.161,40.179,58.524,1.894,57.839,86.555,9.811,2.471,3.087,21.064,79.12,48.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.069,18.611,17.286,3.036,13.796,0.09,1.319,0.787,0.509,0.146,14.672,0.416,2.08,11.373,0.07,1.572,NA,0.526,0.981,0.009,NA,0.406,0.163,0.237,0.008,0.556,0.482,0.055,0.014,0.65,2.442,1.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uri1,M01500358,WT,WT,Male,2013-09-11,MFEW,35.232,NA,96.153,55.067,90.996,15.826,83.254,0.532,9.019,55.894,42.263,8.575,40.156,2.825,17.382,76.979,0.815,3.847,NA,34.985,62.375,0.85,0.806,NA,50.616,32.911,66.699,2.629,49.384,84.83,11.677,2.096,3.399,17.144,83.055,39.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.877,18.655,16.975,2.686,14.133,0.09,1.682,0.94,0.711,0.144,13.604,0.384,2.365,10.472,0.111,1.355,NA,0.474,0.845,0.012,NA,0.408,0.134,0.272,0.011,0.398,0.338,0.047,0.008,0.583,2.823,1.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankrd9,M01524100,Ankrd9:Hom,Hom,Female,2013-10-13,MEVW,27.48202074,NA,94.867,55.147,85.873,22.561,73.013,0.501,14.613,67.497,31.092,8.703,38.337,3.199,18.403,70.998,0.338,5.133,NA,41.015,55.32,0.425,0.694,NA,40.391,41.507,57.03,4.049,59.609,82.698,12.881,3.354,2.241,28.634,71.591,43.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.071,14.378,12.347,2.786,9.015,0.062,2.101,1.418,0.653,0.183,9.995,0.32,1.839,7.096,0.034,1.411,NA,0.579,0.78,0.006,NA,0.116,0.16,0.011,0.414,0.342,0.053,0.014,0.642,1.604,0.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pth,M01522928,Pth:Hom,Hom,Male,2013-10-13,MFEQ,26.62288819,NA,95.599,57.95,83.181,24.234,70.62,0.478,17.492,63.346,35.166,6.105,35.186,5.626,23.462,64.306,0.441,4.401,NA,42.583,53.727,1.073,0.682,NA,41.235,40.471,58.667,4.157,58.765,72.702,23.06,6.935,2.013,30.612,69.661,26.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.451,14.749,12.268,2.973,8.664,0.059,2.58,1.634,0.907,0.157,8.955,0.504,2.101,5.759,0.039,1.172,NA,0.499,0.63,0.013,NA,0.114,0.165,0.012,0.401,0.291,0.092,0.028,0.616,1.402,0.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
